time,homeplayer,awayplayer,homescore,awayscore,set1homescore,set1awayscore,set2homescore,set2awayscore,set3homescore,set3awayscore,set4homescore,set4awayscore,set5homescore,set5awayscore,nset
18.02.2021,Djokovic N.,Karatsev A.,3,0,6,3,6,4,6,2,0,0,0,0,5
16.02.2021,Djokovic N.,Zverev A.,3,1,6,6,7,8,6,2,6,4,7,8,5
14.02.2021,Djokovic N.,Raonic M.,3,1,7,7,6,4,4,6,6,1,6,4,5
12.02.2021,Djokovic N.,Fritz T.,3,2,7,7,6,1,6,4,3,6,4,6,5
10.02.2021,Djokovic N.,Tiafoe F.,3,1,6,3,6,3,7,7,7,7,6,2,5
05.02.2021,Djokovic N.,Zverev A.,2,1,6,3,7,7,6,2,7,5,0,0,5
20.11.2020,Djokovic N.,Zverev A.,2,0,6,3,7,7,6,4,0,0,0,0,5
18.11.2020,Djokovic N.,Medvedev D.,0,2,3,6,3,6,0,0,0,0,0,0,3
30.10.2020,Djokovic N.,Sonego L.,0,2,2,6,1,6,0,0,0,0,0,0,3
28.10.2020,Djokovic N.,Coric B.,2,0,7,13,6,11,6,3,0,0,0,0,5
11.10.2020,Djokovic N.,Nadal R.,0,3,0,6,2,6,5,7,0,0,0,0,5
09.10.2020,Djokovic N.,Tsitsipas S.,3,2,6,3,6,2,5,7,4,6,6,1,5
07.10.2020,Djokovic N.,Carreno-Busta P.,3,1,4,6,6,2,6,3,6,4,0,0,5
05.10.2020,Djokovic N.,Khachanov K.,3,0,6,4,6,3,6,3,0,0,0,0,5
03.10.2020,Djokovic N.,Galan D. E.,3,0,6,0,6,3,6,2,0,0,0,0,5
01.10.2020,Djokovic N.,Berankis R.,3,0,6,1,6,2,6,2,0,0,0,0,5
21.09.2020,Djokovic N.,Schwartzman D.,2,0,7,5,6,3,0,0,0,0,0,0,3
20.09.2020,Djokovic N.,Ruud C.,2,0,7,5,6,3,0,0,0,0,0,0,3
19.09.2020,Djokovic N.,Koepfer D.,2,1,6,3,4,6,6,3,0,0,0,0,5
18.09.2020,Djokovic N.,Krajinovic F.,2,0,7,9,6,7,6,3,0,0,0,0,5
06.09.2020,Djokovic N.,Carreno-Busta P.,0,0,5,6,0,0,0,0,0,0,0,0,3
05.09.2020,Djokovic N.,Struff J-L.,3,0,6,3,6,3,6,1,0,0,0,0,5
02.09.2020,Djokovic N.,Edmund K.,3,1,6,5,7,7,6,3,6,4,6,2,5
29.08.2020,Djokovic N.,Raonic M.,2,1,1,6,6,3,6,4,0,0,0,0,5
28.08.2020,Djokovic N.,Bautista R.,2,1,4,6,6,4,7,7,6,0,0,0,5
26.08.2020,Djokovic N.,Struff J-L.,2,0,6,3,6,1,0,0,0,0,0,0,3
25.08.2020,Djokovic N.,Sandgren T.,2,0,6,2,6,4,0,0,0,0,0,0,3
21.06.2020,Djokovic N.,Serdarusic N.,2,0,4,1,4,7,3,3,0,0,0,0,5
20.06.2020,Djokovic N.,Coric B.,2,0,4,1,4,7,3,1,0,0,0,0,5
14.06.2020,Djokovic N.,Zverev A.,2,1,4,0,1,4,4,2,0,0,0,0,5
13.06.2020,Djokovic N.,Krajinovic F.,1,2,4,2,2,4,1,4,0,0,0,0,5
29.02.2020,Djokovic N.,Tsitsipas S.,2,0,6,3,6,4,0,0,0,0,0,0,3
